"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"PPARG - mRNA","NM_005037.5:434","NS_IO_360_V1.0","PPARG","mRNA",0,"","","","hsa03320;hsa04152;hsa04211;hsa04380;hsa05016;hsa05200;hsa05202;hsa05216","","PPARG","PPARG - mRNA","False"
"FSTL3 - mRNA","NM_005860.2:255","NS_IO_360_V1.0","FSTL3","mRNA",0,"","","Angiogenesis","","","FSTL3","FSTL3 - mRNA","False"
"SBNO2 - mRNA","NM_001100122.1:1686","NS_IO_360_V1.0","SBNO2","mRNA",0,"","","","","","SBNO2","SBNO2 - mRNA","False"
"ARNT2 - mRNA","NM_014862.3:1133","NS_IO_360_V1.0","ARNT2","mRNA",0,"","","","hsa05200;hsa05202;hsa05211","","ARNT2","ARNT2 - mRNA","False"
"PTCD2 - mRNA","NM_001284403.1:326","NS_IO_360_V1.0","PTCD2","mRNA",0,"","","","","","PTCD2","PTCD2 - mRNA","False"
"TICAM1 - mRNA","NM_182919.3:2552","NS_IO_360_V1.0","TICAM1","mRNA",0,"","","Apoptosis","hsa04064;hsa04620;hsa05133;hsa05142;hsa05160;hsa05161;hsa05164;hsa05168","","TICAM1","TICAM1 - mRNA","False"
"NRDE2 - mRNA","NM_017970.3:3233","NS_IO_360_V1.0","NRDE2","mRNA",1,"Housekeeping","","","","","NRDE2","NRDE2 - mRNA","False"
"FCGRT - mRNA","NM_004107.4:1260","NS_IO_360_V1.0","FCGRT","mRNA",0,"","","","","","FCGRT","FCGRT - mRNA","False"
"IRF3 - mRNA","NM_001197122.1:607","NS_IO_360_V1.0","IRF3","mRNA",0,"","","Interferon Signaling","hsa04620;hsa04622;hsa04623;hsa05133;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168;hsa05169;hsa05203","","IRF3","IRF3 - mRNA","False"
"TNFSF12 - mRNA","NM_003809.2:339","NS_IO_360_V1.0","TNFSF12","mRNA",0,"","","NF-kappaB Signaling","hsa04060","","TNFSF12","TNFSF12 - mRNA","False"
"BRD3 - mRNA","NM_007371.3:2621","NS_IO_360_V1.0","BRD3","mRNA",0,"","","Epigenetic Regulation","","","BRD3","BRD3 - mRNA","False"
"DNAJC14 - mRNA","NM_032364.5:787","NS_IO_360_V1.0","DNAJC14","mRNA",1,"Housekeeping","","","","","DNAJC14","DNAJC14 - mRNA","False"
"HMGB1 - mRNA","NM_002128.5:3400","NS_IO_360_V1.0","HMGB1","mRNA",0,"","","Autophagy;Apoptosis","","","HMGB1","HMGB1 - mRNA","False"
"PTEN - mRNA","NM_000314.6:6696","NS_IO_360_V1.0","PTEN","mRNA",0,"","","PI3K-Akt;Metabolic Stress;Costimulatory Signaling;Autophagy","hsa00562;hsa04068;hsa04070;hsa04071;hsa04115;hsa04150;hsa04151;hsa04510;hsa04530;hsa04931;hsa05161;hsa05200;hsa05206;hsa05213;hsa05214;hsa05215;hsa05218;hsa05222;hsa05230","","PTEN","PTEN - mRNA","False"
"WNT5A - mRNA","NM_003392.3:987","NS_IO_360_V1.0","WNT5A","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT5A","WNT5A - mRNA","False"
"IL12RB2 - mRNA","NM_001319233.1:880","NS_IO_360_V1.0","IL12RB2","mRNA",0,"","","Lymphoid Compartment;JAK-STAT Signaling;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa05321","","IL12RB2","IL12RB2 - mRNA","False"
"RELN - mRNA","NM_005045.3:988","NS_IO_360_V1.0","RELN","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512","","RELN","RELN - mRNA","False"
"ERBB2 - mRNA","NM_004448.2:2405","NS_IO_360_V1.0","ERBB2","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa04012;hsa04020;hsa04066;hsa04510;hsa04520;hsa05200;hsa05205;hsa05206;hsa05212;hsa05213;hsa05215;hsa05219;hsa05223;hsa05230","","ERBB2","ERBB2 - mRNA","False"
"TNFRSF10B - mRNA","NM_003842.3:565","NS_IO_360_V1.0","TNFRSF10B","mRNA",0,"","","Apoptosis","hsa04060;hsa04115;hsa04210;hsa04650;hsa05162;hsa05164","","TNFRSF10B","TNFRSF10B - mRNA","False"
"PRKACB - mRNA","NM_182948.2:805","NS_IO_360_V1.0","PRKACB","mRNA",0,"","","Wnt Signaling;MAPK;Hedgehog Signaling;Cytokine and Chemokine Signaling;Autophagy","hsa04010;hsa04014;hsa04020;hsa04024;hsa04062;hsa04114;hsa04210;hsa04211;hsa04213;hsa04261;hsa04270;hsa04310;hsa04340;hsa04540;hsa04611;hsa04720;hsa04723;hsa04724;hsa04725;hsa04726;hsa04727;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04915;hsa04916;hsa04919;hsa04921;hsa04922;hsa04923;hsa04970;hsa05012;hsa05020;hsa05146;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05414","","PRKACB","PRKACB - mRNA","False"
"ITGA2 - mRNA","NM_002203.3:903","NS_IO_360_V1.0","ITGA2","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04145;hsa04151;hsa04510;hsa04512;hsa04611;hsa04640;hsa04810;hsa05200;hsa05205;hsa05222;hsa05410;hsa05412;hsa05414","","ITGA2","ITGA2 - mRNA","False"
"NF1 - mRNA","NM_000267.3:1260","NS_IO_360_V1.0","NF1","mRNA",0,"","","MAPK","hsa04010;hsa04014","","NF1","NF1 - mRNA","False"
"TBP - mRNA","NM_001172085.1:587","NS_IO_360_V1.0","TBP","mRNA",1,"Housekeeping","","","","","TBP","TBP - mRNA","False"
"TNFAIP3 - mRNA","NM_001270508.1:3240","NS_IO_360_V1.0","TNFAIP3","mRNA",0,"","","","hsa04064;hsa04621;hsa04668;hsa05162;hsa05169","","TNFAIP3","TNFAIP3 - mRNA","False"
"SERPINH1 - mRNA","NM_001207014.1:1850","NS_IO_360_V1.0","SERPINH1","mRNA",0,"","","Matrix Remodeling and Metastasis;Angiogenesis","","","SERPINH1","SERPINH1 - mRNA","False"
"ROCK1 - mRNA","NM_005406.2:3796","NS_IO_360_V1.0","ROCK1","mRNA",0,"","","TGF-beta Signaling;Immune Cell Adhesion and Migration;Cytokine and Chemokine Signaling;Apoptosis","hsa04022;hsa04024;hsa04062;hsa04071;hsa04270;hsa04350;hsa04360;hsa04510;hsa04611;hsa04670;hsa04810;hsa04921;hsa05130;hsa05131;hsa05132;hsa05200;hsa05205;hsa05206","","ROCK1","ROCK1 - mRNA","False"
"ARID1A - mRNA","NM_006015.4:1670","NS_IO_360_V1.0","ARID1A","mRNA",0,"","","Epigenetic Regulation","","","ARID1A","ARID1A - mRNA","False"
"BCL2 - mRNA","NM_000633.2:1525","NS_IO_360_V1.0","BCL2","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Hypoxia;Autophagy;Apoptosis","hsa04064;hsa04066;hsa04071;hsa04141;hsa04151;hsa04210;hsa04261;hsa04510;hsa04630;hsa04722;hsa04725;hsa04933;hsa05014;hsa05145;hsa05152;hsa05161;hsa05169;hsa05200;hsa05206;hsa05210;hsa05215;hsa05222","","BCL2","BCL2 - mRNA","False"
"APOL6 - mRNA","NM_030641.3:289","NS_IO_360_V1.0","APOL6","mRNA",0,"","","","","","APOL6","APOL6 - mRNA","False"
"CASP8 - mRNA","NM_001228.4:762","NS_IO_360_V1.0","CASP8","mRNA",0,"","","Apoptosis","hsa04115;hsa04210;hsa04620;hsa04621;hsa04622;hsa04668;hsa04932;hsa05010;hsa05016;hsa05134;hsa05142;hsa05145;hsa05152;hsa05161;hsa05168;hsa05200;hsa05203;hsa05416","","CASP8","CASP8 - mRNA","False"
"FANCA - mRNA","NM_001018112.1:580","NS_IO_360_V1.0","FANCA","mRNA",0,"","","DNA Damage Repair","hsa03460","","FANCA","FANCA - mRNA","False"
"FADD - mRNA","NM_003824.3:810","NS_IO_360_V1.0","FADD","mRNA",0,"","","Apoptosis","hsa04210;hsa04620;hsa04622;hsa04668;hsa05010;hsa05142;hsa05152;hsa05161;hsa05168;hsa05200","","FADD","FADD - mRNA","False"
"TLR4 - mRNA","NR_024168.1:2575","NS_IO_360_V1.0","TLR4","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;Hypoxia;Apoptosis","","","","TLR4 - mRNA","False"
"RNLS - mRNA","NM_001031709.2:726","NS_IO_360_V1.0","RNLS","mRNA",0,"","","","","","RNLS","RNLS - mRNA","False"
"FAS - mRNA","NM_000043.3:90","NS_IO_360_V1.0","FAS","mRNA",0,"","","MAPK","hsa04010;hsa04060;hsa04115;hsa04210;hsa04650;hsa04668;hsa04932;hsa04940;hsa05010;hsa05142;hsa05143;hsa05161;hsa05162;hsa05164;hsa05168;hsa05200;hsa05205;hsa05320;hsa05330;hsa05332","","FAS","FAS - mRNA","False"
"IFIT1 - mRNA","NM_001270930.1:1675","NS_IO_360_V1.0","IFIT1","mRNA",0,"","","Lymphoid Compartment;Interferon Signaling;Cytotoxicity","hsa05160;hsa05168","","IFIT1","IFIT1 - mRNA","False"
"SYK - mRNA","NM_003177.5:808","NS_IO_360_V1.0","SYK","mRNA",0,"","","PI3K-Akt","hsa04064;hsa04072;hsa04151;hsa04380;hsa04611;hsa04650;hsa04662;hsa04664;hsa04666;hsa05152;hsa05169;hsa05203","","SYK","SYK - mRNA","False"
"IL6R - mRNA","NM_000565.3:846","NS_IO_360_V1.0","IL6R","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Hypoxia;Cytokine and Chemokine Signaling","hsa04060;hsa04066;hsa04151;hsa04630;hsa04640;hsa04932","","IL6R","IL6R - mRNA","False"
"CENPF - mRNA","NM_016343.3:9260","NS_IO_360_V1.0","CENPF","mRNA",0,"","","Cell Proliferation","","","CENPF","CENPF - mRNA","False"
"BRCA1 - mRNA","NM_007294.3:4677","NS_IO_360_V1.0","BRCA1","mRNA",0,"","","PI3K-Akt;DNA Damage Repair;Cell Proliferation","hsa03460;hsa04120;hsa04151;hsa05206","","BRCA1","BRCA1 - mRNA","False"
"MELK - mRNA","NM_014791.2:365","NS_IO_360_V1.0","MELK","mRNA",0,"","","Cell Proliferation","","","MELK","MELK - mRNA","False"
"FGFR1 - mRNA","NM_001174064.1:1756","NS_IO_360_V1.0","FGFR1","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;Angiogenesis","hsa04010;hsa04014;hsa04015;hsa04151;hsa04520;hsa04550;hsa04810;hsa05200;hsa05205;hsa05215;hsa05218;hsa05230","","FGFR1","FGFR1 - mRNA","False"
"HELLS - mRNA","NM_001289067.1:191","NS_IO_360_V1.0","HELLS","mRNA",0,"","","Epigenetic Regulation","","","HELLS","HELLS - mRNA","False"
"STC1 - mRNA","NM_003155.2:2172","NS_IO_360_V1.0","STC1","mRNA",0,"","","Angiogenesis","","","STC1","STC1 - mRNA","False"
"ADAM12 - mRNA","NM_003474.5:638","NS_IO_360_V1.0","ADAM12","mRNA",0,"","","","","","ADAM12","ADAM12 - mRNA","False"
"CDC20 - mRNA","NM_001255.1:915","NS_IO_360_V1.0","CDC20","mRNA",0,"","","Cell Proliferation;Antigen Presentation","hsa04110;hsa04114;hsa04120;hsa05166;hsa05203","","CDC20","CDC20 - mRNA","False"
"KIF2C - mRNA","NM_006845.2:1020","NS_IO_360_V1.0","KIF2C","mRNA",0,"","","Cell Proliferation;Antigen Presentation","","","KIF2C","KIF2C - mRNA","False"
"CEACAM3 - mRNA","NM_001277163.2:807","NS_IO_360_V1.0","CEACAM3","mRNA",0,"","","","","Neutrophils","CEACAM3","CEACAM3 - mRNA","False"
"BRCA2 - mRNA","NM_000059.3:1373","NS_IO_360_V1.0","BRCA2","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa03440;hsa03460;hsa05200;hsa05212","","BRCA2","BRCA2 - mRNA","False"
"MTOR - mRNA","NM_004958.3:3444","NS_IO_360_V1.0","MTOR","mRNA",0,"","","PI3K-Akt;Metabolic Stress;JAK-STAT Signaling;Hypoxia;Costimulatory Signaling;Autophagy","hsa04012;hsa04066;hsa04072;hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04630;hsa04910;hsa04919;hsa04920;hsa04930;hsa04931;hsa05200;hsa05205;hsa05206;hsa05214;hsa05215;hsa05221;hsa05230;hsa05231","","MTOR","MTOR - mRNA","False"
"ICAM2 - mRNA","NM_000873.3:415","NS_IO_360_V1.0","ICAM2","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04514;hsa04650","","ICAM2","ICAM2 - mRNA","False"
"CSF2 - mRNA","NM_000758.3:108","NS_IO_360_V1.0","CSF2","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa04640;hsa04650;hsa04660;hsa04664;hsa04668;hsa05132;hsa05146;hsa05166;hsa05202;hsa05323","","CSF2","CSF2 - mRNA","False"
"APH1B - mRNA","NM_001145646.1:541","NS_IO_360_V1.0","APH1B","mRNA",0,"","","Notch Signaling","hsa04330;hsa05010","","APH1B","APH1B - mRNA","False"
"RAD51 - mRNA","NM_133487.3:1570","NS_IO_360_V1.0","RAD51","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa03440;hsa03460;hsa05200;hsa05212","","RAD51","RAD51 - mRNA","False"
"LTB - mRNA","NM_002341.1:330","NS_IO_360_V1.0","LTB","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04064;hsa05323","","LTB","LTB - mRNA","False"
"UBE2T - mRNA","NM_014176.1:50","NS_IO_360_V1.0","UBE2T","mRNA",0,"","","DNA Damage Repair","hsa03460","","UBE2T","UBE2T - mRNA","False"
"NECTIN1 - mRNA","NM_002855.4:357","NS_IO_360_V1.0","NECTIN1","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514;hsa04520;hsa05168","","NECTIN1","NECTIN1 - mRNA","False"
"EXO1 - mRNA","NM_006027.3:820","NS_IO_360_V1.0","EXO1","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa03430","","EXO1","EXO1 - mRNA","False"
"BRIP1 - mRNA","NM_032043.2:1570","NS_IO_360_V1.0","BRIP1","mRNA",0,"","","DNA Damage Repair","hsa03460","","BRIP1","BRIP1 - mRNA","False"
"LOXL2 - mRNA","NM_002318.2:40","NS_IO_360_V1.0","LOXL2","mRNA",0,"","","Matrix Remodeling and Metastasis","","","LOXL2","LOXL2 - mRNA","False"
"EIF2B4 - mRNA","NM_001034116.1:1258","NS_IO_360_V1.0","EIF2B4","mRNA",0,"","","","","","EIF2B4","EIF2B4 - mRNA","False"
"ICOSLG - mRNA","NM_015259.4:1190","NS_IO_360_V1.0","ICOSLG","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04672","","ICOSLG","ICOSLG - mRNA","False"
"CXCL16 - mRNA","NM_001100812.1:743","NS_IO_360_V1.0","CXCL16","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CXCL16","CXCL16 - mRNA","False"
"IFNAR1 - mRNA","NM_000629.2:461","NS_IO_360_V1.0","IFNAR1","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Interferon Signaling","hsa04060;hsa04151;hsa04380;hsa04620;hsa04630;hsa04650;hsa05160;hsa05161;hsa05162;hsa05164;hsa05168","","IFNAR1","IFNAR1 - mRNA","False"
"TGFBR2 - mRNA","NM_001024847.2:870","NS_IO_360_V1.0","TGFBR2","mRNA",0,"","","TGF-beta Signaling;MAPK","hsa04010;hsa04060;hsa04068;hsa04144;hsa04350;hsa04380;hsa04390;hsa04520;hsa04933;hsa05142;hsa05166;hsa05200;hsa05202;hsa05210;hsa05212;hsa05220","","TGFBR2","TGFBR2 - mRNA","False"
"APC - mRNA","NM_001127510.2:462","NS_IO_360_V1.0","APC","mRNA",0,"","","Wnt Signaling;Apoptosis","hsa04310;hsa04390;hsa04550;hsa04810;hsa05166;hsa05200;hsa05206;hsa05210;hsa05213;hsa05217","","APC","APC - mRNA","False"
"PIK3R1 - mRNA","NM_001242466.1:889","NS_IO_360_V1.0","PIK3R1","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling;Costimulatory Signaling;Autophagy","hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3R1","PIK3R1 - mRNA","False"
"TNF - mRNA","NM_000594.3:1366","NS_IO_360_V1.0","TNF","mRNA",0,"","","TGF-beta Signaling;NF-kappaB Signaling;Metabolic Stress;MAPK;Antigen Presentation","hsa04010;hsa04060;hsa04064;hsa04071;hsa04150;hsa04210;hsa04350;hsa04380;hsa04612;hsa04620;hsa04621;hsa04622;hsa04640;hsa04650;hsa04660;hsa04664;hsa04668;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa04940;hsa05010;hsa05014;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05152;hsa05160;hsa05161;hsa05164;hsa05166;hsa05168;hsa05205;hsa05310;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05410;hsa05414","","TNF","TNF - mRNA","False"
"RELB - mRNA","NM_006509.3:956","NS_IO_360_V1.0","RELB","mRNA",0,"","","NF-kappaB Signaling;MAPK","hsa04010;hsa04064;hsa04380;hsa05166;hsa05169","","RELB","RELB - mRNA","False"
"HDAC3 - mRNA","NM_003883.3:1464","NS_IO_360_V1.0","HDAC3","mRNA",0,"","","Notch Signaling;Epigenetic Regulation","hsa04919;hsa05034;hsa05203","","HDAC3","HDAC3 - mRNA","False"
"RIPK2 - mRNA","NM_003821.5:1306","NS_IO_360_V1.0","RIPK2","mRNA",0,"","","Costimulatory Signaling","hsa04621;hsa04722;hsa05131;hsa05152","","RIPK2","RIPK2 - mRNA","False"
"CXCL6 - mRNA","NM_002993.3:308","NS_IO_360_V1.0","CXCL6","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa05133;hsa05323","","CXCL6","CXCL6 - mRNA","False"
"PIK3CA - mRNA","NM_006218.2:3296","NS_IO_360_V1.0","PIK3CA","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling;Costimulatory Signaling;Autophagy","hsa00562;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3CA","PIK3CA - mRNA","False"
"HRAS - mRNA","NM_005343.3:842","NS_IO_360_V1.0","HRAS","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Autophagy","hsa04010;hsa04012;hsa04014;hsa04015;hsa04062;hsa04068;hsa04071;hsa04072;hsa04144;hsa04151;hsa04211;hsa04213;hsa04360;hsa04370;hsa04510;hsa04530;hsa04540;hsa04550;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04720;hsa04722;hsa04725;hsa04726;hsa04810;hsa04910;hsa04912;hsa04915;hsa04916;hsa04917;hsa04919;hsa04921;hsa04933;hsa05034;hsa05160;hsa05161;hsa05166;hsa05200;hsa05203;hsa05205;hsa05206;hsa05211;hsa05213;hsa05214;hsa05215;hsa05216;hsa05218;hsa05219;hsa05220;hsa05221;hsa05223;hsa05230;hsa05231","","HRAS","HRAS - mRNA","False"
"RELA - mRNA","NM_021975.3:1990","NS_IO_360_V1.0","RELA","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;Metabolic Stress;MAPK;Hypoxia;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04010;hsa04014;hsa04024;hsa04062;hsa04064;hsa04066;hsa04071;hsa04151;hsa04210;hsa04211;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04722;hsa04917;hsa04920;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05134;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05169;hsa05200;hsa05202;hsa05203;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222;hsa05321","","RELA","RELA - mRNA","False"
"TNFRSF10C - mRNA","NM_003841.3:682","NS_IO_360_V1.0","TNFRSF10C","mRNA",0,"","","","hsa04060;hsa04210;hsa04650;hsa05162;hsa05164","","TNFRSF10C","TNFRSF10C - mRNA","False"
"HK2 - mRNA","NM_000189.4:2883","NS_IO_360_V1.0","HK2","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa00010;hsa00051;hsa04066;hsa04910;hsa04930;hsa04973;hsa05230","","HK2","HK2 - mRNA","False"
"ITPK1 - mRNA","NM_001142593.2:958","NS_IO_360_V1.0","ITPK1","mRNA",0,"","","Angiogenesis","hsa00562;hsa04070","","ITPK1","ITPK1 - mRNA","False"
"TMUB2 - mRNA","NM_177441.2:1416","NS_IO_360_V1.0","TMUB2","mRNA",1,"Housekeeping","","","","","TMUB2","TMUB2 - mRNA","False"
"BMP2 - mRNA","NM_001200.3:1193","NS_IO_360_V1.0","BMP2","mRNA",0,"","","TGF-beta Signaling;Matrix Remodeling and Metastasis;Hedgehog Signaling","hsa04060;hsa04340;hsa04350;hsa04390;hsa04550;hsa05200;hsa05217","","BMP2","BMP2 - mRNA","False"
"GUSB - mRNA","NM_000181.1:1350","NS_IO_360_V1.0","GUSB","mRNA",1,"Housekeeping","","","","","GUSB","GUSB - mRNA","False"
"MICB - mRNA","NM_005931.3:1387","NS_IO_360_V1.0","MICB","mRNA",0,"","","","hsa04650","","MICB","MICB - mRNA","False"
"MLH1 - mRNA","NM_000249.2:1605","NS_IO_360_V1.0","MLH1","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","hsa03430;hsa03460;hsa05200;hsa05210;hsa05213","","MLH1","MLH1 - mRNA","False"
"EZH2 - mRNA","NM_004456.4:1596","NS_IO_360_V1.0","EZH2","mRNA",0,"","","Metabolic Stress;Epigenetic Regulation;Angiogenesis","hsa05206","","EZH2","EZH2 - mRNA","False"
"NFKB2 - mRNA","NM_001077494.3:1986","NS_IO_360_V1.0","NFKB2","mRNA",0,"","","NF-kappaB Signaling;MAPK","hsa04010;hsa04064;hsa04380;hsa05134;hsa05166;hsa05169;hsa05200;hsa05203","","NFKB2","NFKB2 - mRNA","False"
"MGMT - mRNA","NM_002412.3:323","NS_IO_360_V1.0","MGMT","mRNA",0,"","","DNA Damage Repair","","","MGMT","MGMT - mRNA","False"
"MRE11 - mRNA","NM_001330347.1:2169","NS_IO_360_V1.0","MRE11","mRNA",0,"","","","hsa03440","","MRE11","MRE11 - mRNA","False"
"SMAD5 - mRNA","NM_005903.5:5007","NS_IO_360_V1.0","SMAD5","mRNA",0,"","","TGF-beta Signaling","hsa04350;hsa04550","","SMAD5","SMAD5 - mRNA","False"
"BAMBI - mRNA","NM_012342.2:824","NS_IO_360_V1.0","BAMBI","mRNA",0,"","","Wnt Signaling;TGF-beta Signaling","hsa04310;hsa04350","","BAMBI","BAMBI - mRNA","False"
"HES1 - mRNA","NM_005524.2:860","NS_IO_360_V1.0","HES1","mRNA",0,"","","Notch Signaling","hsa03460;hsa04330","","HES1","HES1 - mRNA","False"
"ATM - mRNA","NM_000051.3:393","NS_IO_360_V1.0","ATM","mRNA",0,"","","Metabolic Stress;DNA Damage Repair;Cell Proliferation","hsa04064;hsa04068;hsa04110;hsa04115;hsa04210;hsa05166;hsa05202;hsa05206","","ATM","ATM - mRNA","False"
"CX3CL1 - mRNA","NM_002996.3:1850","NS_IO_360_V1.0","CX3CL1","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04668","","CX3CL1","CX3CL1 - mRNA","False"
"TNFRSF1A - mRNA","NM_001065.2:515","NS_IO_360_V1.0","TNFRSF1A","mRNA",0,"","","NF-kappaB Signaling;MAPK","hsa04010;hsa04060;hsa04064;hsa04071;hsa04210;hsa04380;hsa04668;hsa04920;hsa04931;hsa04932;hsa05010;hsa05014;hsa05142;hsa05145;hsa05152;hsa05160;hsa05164;hsa05166;hsa05168","","TNFRSF1A","TNFRSF1A - mRNA","False"
"IRF9 - mRNA","NM_006084.4:723","NS_IO_360_V1.0","IRF9","mRNA",0,"","","Lymphoid Compartment;JAK-STAT Signaling;Interferon Signaling;Cytotoxicity","hsa04380;hsa04630;hsa05160;hsa05162;hsa05164;hsa05168;hsa05203","","IRF9","IRF9 - mRNA","False"
"PSMB9 - mRNA","NM_002800.4:394","NS_IO_360_V1.0","PSMB9","mRNA",0,"","","NF-kappaB Signaling;Hedgehog Signaling;Costimulatory Signaling;Cell Proliferation;Apoptosis;Antigen Presentation","hsa03050","","PSMB9","PSMB9 - mRNA","False"
"SAMD9 - mRNA","NM_017654.3:490","NS_IO_360_V1.0","SAMD9","mRNA",0,"","","","","","SAMD9","SAMD9 - mRNA","False"
"OAS3 - mRNA","NM_006187.3:2354","NS_IO_360_V1.0","OAS3","mRNA",0,"","","Interferon Signaling;Cytotoxicity","hsa05160;hsa05162;hsa05164;hsa05168","","OAS3","OAS3 - mRNA","False"
"TAP2 - mRNA","NM_018833.2:912","NS_IO_360_V1.0","TAP2","mRNA",0,"","","Antigen Presentation","hsa04145;hsa04612;hsa05168;hsa05340","","TAP2","TAP2 - mRNA","False"
